Category,Sub Category,Title,Description,Quantity,Type,Price,Shipping Profile,Offerable,Hazmat,Condition,Cost Per Item,SKU,Image URL 1,Image URL 2,Image URL 3,Image URL 4,Image URL 5,Image URL 6,Image URL 7,Image URL 8
Trading Card Games,Magic: The Gathering,The Twelfth Doctor (Foil),"Set: Doctor Who • Rarity: Rare • Language: En • Type: Legendary Creature — Time Lord Doctor • Mana Cost: {3}{U}{R} • Text: The first spell you cast from anywhere other than your hand each turn has demonstrate. (When you cast that spell, you may copy it. If you do, choose an opponent to also copy it. A copy of a permanent spell becomes a token.) Whenever you copy a spell, put a +1/+1 counter on The Twelfth Doctor.",1,Buy it Now,400,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/8/2/822d0ca0-9b2d-4c27-9ecd-0b2a7661952e.jpg?1697534495,,,,,,,
Trading Card Games,Magic: The Gathering,Mana Crypt (Foil),"Set: Special Guests • Rarity: Mythic • Language: En • Type: Artifact • Mana Cost: {0} • Text: At the beginning of your upkeep, flip a coin. If you lose the flip, this artifact deals 3 damage to you. {T}: Add {C}{C}.",1,Buy it Now,375,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/b/a/babd0a51-97f5-43d6-98db-e668ece3f16c.jpg?1698988726,,,,,,,
Trading Card Games,Magic: The Gathering,Counterspell (Foil),Set: URL/Convention Promos • Rarity: Rare • Language: En • Type: Instant • Mana Cost: {U}{U} • Text: Counter target spell.,2,Buy it Now,250,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/f/2/f2a7042f-a6f0-4e77-86a2-5eb0d2587363.jpg?1745923488,,,,,,,
Trading Card Games,Magic: The Gathering,Ancient Tomb (Non-Foil),Set: Tales of Middle-earth Commander • Rarity: Mythic • Language: En • Type: Land • Text: {T}: Add {C}{C}. This land deals 2 damage to you.,1,Buy it Now,190,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/d/f/dfd176e9-55e7-454c-bd35-24a6e3fb0d81.jpg?1686967084,,,,,,,
Trading Card Games,Magic: The Gathering,Leyline of the Void (Foil),"Set: Time Spiral Remastered • Rarity: Special • Language: En • Type: Enchantment • Mana Cost: {2}{B}{B} • Text: If this card is in your opening hand, you may begin the game with it on the battlefield. If a card would be put into an opponent's graveyard from anywhere, exile it instead.",1,Buy it Now,117,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/1/8/186eea73-46c5-4532-ac94-326db7d6f0cb.jpg?1619400955,,,,,,,
Trading Card Games,Magic: The Gathering,Elvish Reclaimer (Foil),"Set: Mystery Booster 2 • Rarity: Rare • Language: En • Type: Creature — Elf Warrior • Mana Cost: {G} • Text: This creature gets +2/+2 as long as there are three or more land cards in your graveyard. {2}, {T}, Sacrifice a land: Search your library for a land card, put it onto the battlefield tapped, then shuffle.",1,Buy it Now,88,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/3/8/3826a901-7219-46d1-acae-07a981877149.jpg?1723223508,,,,,,,
Trading Card Games,Magic: The Gathering,Krark-Clan Ironworks (Foil),Set: Mystery Booster 2 • Rarity: Uncommon • Language: En • Type: Artifact • Mana Cost: {4} • Text: Sacrifice an artifact: Add {C}{C}.,1,Buy it Now,88,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/d/4/d43f43f4-5551-4fe8-bff9-c72ad76008fa.jpg?1743901435,,,,,,,
Trading Card Games,Magic: The Gathering,Green Sun's Zenith (Non-Foil),"Set: Double Masters 2022 • Rarity: Rare • Language: En • Type: Sorcery • Mana Cost: {X}{G} • Text: Search your library for a green creature card with mana value X or less, put it onto the battlefield, then shuffle. Shuffle Green Sun's Zenith into its owner's library.",1,Buy it Now,71,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/5/8/586fdc7a-add9-4ed6-88f6-188061647c31.jpg?1681411353,,,,,,,
Trading Card Games,Magic: The Gathering,Teferi's Protection (Foil),"Set: Strixhaven Mystical Archive • Rarity: Mythic • Language: En • Type: Instant • Mana Cost: {2}{W} • Text: Until your next turn, your life total can't change and you gain protection from everything. All permanents you control phase out. (While they're phased out, they're treated as though they don't exist. They phase in before you untap during your untap step.) Exile Teferi's Protection.",1,Buy it Now,62,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/2/8/28e21c8c-5ad1-4830-8621-f0fd6500ca79.jpg?1623592186,,,,,,,
Trading Card Games,Magic: The Gathering,"Storm, Force of Nature (Foil)","Set: Secret Lair Drop • Rarity: Mythic • Language: En • Type: Legendary Creature — Mutant Hero • Mana Cost: {1}{G}{U}{R} • Text: Flying, vigilance Ceaseless Tempest — Whenever Storm deals combat damage to a player, the next instant or sorcery spell you cast this turn has storm. (When you cast it, copy it for each spell cast before it this turn. You may choose new targets for the copies.)",1,Buy it Now,50,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/6/a/6af7766e-7438-4128-a1f2-8b3b3ba3c650.jpg?1730758321,,,,,,,
Trading Card Games,Magic: The Gathering,"Captain America, First Avenger (Non-Foil)","Set: Secret Lair Drop • Rarity: Mythic • Language: En • Type: Legendary Creature — Human Soldier Hero • Mana Cost: {R}{W}{U} • Text: Throw ... — {3}, Unattach an Equipment from Captain America: He deals damage equal to that Equipment's mana value divided as you choose among one, two, or three targets. ... Catch — At the beginning of combat on your turn, attach up to one target Equipment you control to Captain America.",3,Buy it Now,49,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/b/b/bba7e9c8-c24c-4bd3-b398-fe42b1fcfb5d.jpg?1730758326,,,,,,,
Trading Card Games,Magic: The Gathering,Overlord of the Hauntwoods (Foil),"Set: Duskmourn: House of Horror • Rarity: Mythic • Language: Ja • Type: Enchantment Creature — Avatar Horror • Mana Cost: {3}{G}{G} • Text: Impending 4—{1}{G}{G} (If you cast this spell for its impending cost, it enters with four time counters and isn't a creature until the last is removed. At the beginning of your end step, remove a time counter from it.) Whenever this permanent enters or attacks, create a tapped colorless land token named Everywhere that is every basic land type.",1,Buy it Now,47,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/5/0/5033440c-7d52-4f2c-bc62-ccd6d587d528.jpg?1726327988,,,,,,,
Trading Card Games,Magic: The Gathering,"Yavimaya, Cradle of Growth (Foil)",Set: Tales of Middle-earth Commander • Rarity: Mythic • Language: En • Type: Legendary Land • Text: Each land is a Forest in addition to its other land types.,1,Buy it Now,47,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/f/4/f442758d-4fee-43fa-a2cb-d09c326da149.jpg?1687551628,,,,,,,
Trading Card Games,Magic: The Gathering,Overlord of the Hauntwoods (Foil),"Set: Duskmourn: House of Horror • Rarity: Mythic • Language: En • Type: Enchantment Creature — Avatar Horror • Mana Cost: {3}{G}{G} • Text: Impending 4—{1}{G}{G} (If you cast this spell for its impending cost, it enters with four time counters and isn't a creature until the last is removed. At the beginning of your end step, remove a time counter from it.) Whenever this permanent enters or attacks, create a tapped colorless land token named Everywhere that is every basic land type.",1,Buy it Now,47,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/5/0/5033440c-7d52-4f2c-bc62-ccd6d587d528.jpg?1726327988,,,,,,,
Trading Card Games,Magic: The Gathering,"Wolverine, Best There Is (Foil)","Set: Secret Lair Drop • Rarity: Mythic • Language: En • Type: Legendary Creature — Mutant Berserker Hero • Mana Cost: {1}{R}{G} • Text: Unrivaled Lethality — Double all damage Wolverine would deal. At the beginning of each end step, if Wolverine dealt damage to another creature this turn, put a +1/+1 counter on him. {1}{G}: Regenerate Wolverine. (The next time he would be destroyed this turn, instead tap him, remove him from combat, and heal all damage on him.)",1,Buy it Now,45,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/e/b/ebe83332-195e-4ac1-878f-f52eef62ce6a.jpg?1730758319,,,,,,,
Trading Card Games,Magic: The Gathering,Akroma's Memorial (Foil),"Set: Secret Lair Drop • Rarity: Mythic • Language: En • Type: Legendary Artifact • Mana Cost: {7} • Text: Creatures you control have flying, first strike, vigilance, trample, haste, and protection from black and from red.",2,Buy it Now,42,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/d/4/d49e8ddc-2e8f-4a6c-a20d-a37f2c24fd97.jpg?1739789045,,,,,,,
Trading Card Games,Magic: The Gathering,"Tamiyo, Inquisitive Student // Tamiyo, Seasoned Scholar (Non-Foil)",Set: Modern Horizons 3 • Rarity: Mythic • Language: En • Type: Legendary Creature — Moonfolk Wizard // Legendary Planeswalker — Tamiyo • Text: No rules text.,2,Buy it Now,41,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/1/b/1b234fee-a2b6-4661-9f98-4da6fc26aebc.jpg?1717015162,,,,,,,
Trading Card Games,Magic: The Gathering,Simulacrum Synthesizer (Non-Foil),"Set: The Big Score • Rarity: Mythic • Language: En • Type: Artifact • Mana Cost: {2}{U} • Text: When this artifact enters, scry 2. Whenever another artifact you control with mana value 3 or greater enters, create a 0/0 colorless Construct artifact creature token with ""This token gets +1/+1 for each artifact you control.""",1,Buy it Now,40,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/a/a/aaa05ad1-5cda-4edd-b6bf-562ae3e5011a.jpg?1739804163,,,,,,,
