Title,Description
Jade-Cast Sentinel foil en,"Collector number: 243
Set code: TDM
Set name: Tarkir: Dragonstorm
Foil: foil
Rarity: common
type_line: Artifact Creature — Ape Snake
color_identity: 
colors: 
mana_cost: {4}
oracle_text: Reach
{2}, {T}: Put target card from a graveyard on the bottom of its owner's library.
Language: en"
Reunion of the House normal en,"Collector number: 55
Set code: TDC
Set name: Tarkir: Dragonstorm Commander
Foil: normal
Rarity: rare
type_line: Sorcery
color_identity: W
colors: W
mana_cost: {5}{W}{W}
oracle_text: Return any number of target creature cards with total power 10 or less from your graveyard to the battlefield. Exile Reunion of the House.
Language: en"
Restoration Angel normal en,"Collector number: 300
Set code: TSR
Set name: Time Spiral Remastered
Foil: normal
Rarity: special
type_line: Creature — Angel
color_identity: W
colors: W
mana_cost: {3}{W}
oracle_text: Flash
Flying
When this creature enters, you may exile target non-Angel creature you control, then return that card to the battlefield under your control.
Language: en"
Hedron Archive normal en,"Collector number: 395
Set code: TSR
Set name: Time Spiral Remastered
Foil: normal
Rarity: special
type_line: Artifact
color_identity: 
colors: 
mana_cost: {4}
oracle_text: {T}: Add {C}{C}.
{2}, {T}, Sacrifice this artifact: Draw two cards.
Language: en"
Wishing Well foil en,"Collector number: 81
Set code: BLB
Set name: Bloomburrow
Foil: foil
Rarity: rare
type_line: Artifact
color_identity: U
colors: U
mana_cost: {3}{U}
oracle_text: {T}: Put a coin counter on this artifact. When you do, you may cast target instant or sorcery card with mana value equal to the number of coin counters on this artifact from your graveyard without paying its mana cost. If that spell would be put into your graveyard, exile it instead. Activate only as a sorcery.
Language: en"
Borborygmos and Fblthp normal en,"Collector number: 219
Set code: MOM
Set name: March of the Machine
Foil: normal
Rarity: mythic
type_line: Legendary Creature — Cyclops Homunculus
color_identity: G, R, U
colors: G, R, U
mana_cost: {2}{G}{U}{R}
oracle_text: Whenever Borborygmos and Fblthp enters or attacks, draw a card, then you may discard any number of land cards. When you discard one or more cards this way, Borborygmos and Fblthp deals twice that much damage to target creature.
{1}{U}: Put Borborygmos and Fblthp into its owner's library third from the top.
Language: en"
Spectral Arcanist normal en,"Collector number: 53
Set code: VOC
Set name: Crimson Vow Commander
Foil: normal
Rarity: rare
type_line: Creature — Spirit Wizard
color_identity: U
colors: U
mana_cost: {3}{U}
oracle_text: Flying
When this creature enters, you may cast an instant or sorcery spell with mana value less than or equal to the number of Spirits you control from a graveyard without paying its mana cost. If that spell would be put into a graveyard, exile it instead.
Language: en"
Sage of the Skies normal en,"Collector number: 328
Set code: TDM
Set name: Tarkir: Dragonstorm
Foil: normal
Rarity: rare
type_line: Creature — Human Monk
color_identity: W
colors: W
mana_cost: {2}{W}
oracle_text: When you cast this spell, if you've cast another spell this turn, copy this spell. (The copy becomes a token.)
Flying, lifelink
Language: en"
Sole Performer foil en,"Collector number: 154
Set code: UNF
Set name: Unfinity
Foil: foil
Rarity: rare
type_line: Creature — Elf Performer
color_identity: G
colors: G
mana_cost: {2}{G}{G}
oracle_text: {T}: Add {T}{T}. Activate only once each turn. (While activating an ability, use {T} rather than tapping the permanent to pay for {T}.)
Language: en"
Fury Sliver normal en,"Collector number: 164
Set code: TSR
Set name: Time Spiral Remastered
Foil: normal
Rarity: uncommon
type_line: Creature — Sliver
color_identity: R
colors: R
mana_cost: {5}{R}
oracle_text: All Sliver creatures have double strike.
Language: en"
