Title,Description
normal Paradise Plume,"Set code: TSR
Set name: Time Spiral Remastered
Collector number: 271
Rarity: uncommon
type_line: Artifact
Language: en
mana_cost: {4}
color_identity: 
colors: 
oracle_text: As this artifact enters, choose a color.
Whenever a player casts a spell of the chosen color, you may gain 1 life.
{T}: Add one mana of the chosen color."
normal Mana Tithe,"Set code: TSR
Set name: Time Spiral Remastered
Collector number: 26
Rarity: common
type_line: Instant
Language: en
mana_cost: {W}
color_identity: W
colors: W
oracle_text: Counter target spell unless its controller pays {1}."
normal Goblin Electromancer,"Set code: RVR
Set name: Ravnica Remastered
Collector number: 367
Rarity: common
type_line: Creature — Goblin Wizard
Language: en
mana_cost: {U}{R}
color_identity: R, U
colors: R, U
oracle_text: Instant and sorcery spells you cast cost {1} less to cast."
normal Draining Whelk,"Set code: TSR
Set name: Time Spiral Remastered
Collector number: 62
Rarity: rare
type_line: Creature — Illusion
Language: en
mana_cost: {4}{U}{U}
color_identity: U
colors: U
oracle_text: Flash
Flying
When this creature enters, counter target spell. Put X +1/+1 counters on this creature, where X is that spell's mana value."
"foil Chevill, Bane of Monsters","Set code: IKO
Set name: Ikoria: Lair of Behemoths
Collector number: 330
Rarity: mythic
type_line: Legendary Creature — Human Rogue
Language: ja
mana_cost: {B}{G}
color_identity: B, G
colors: B, G
oracle_text: Deathtouch
At the beginning of your upkeep, if your opponents control no permanents with bounty counters on them, put a bounty counter on target creature or planeswalker an opponent controls.
Whenever a permanent an opponent controls with a bounty counter on it dies, you gain 3 life and draw a card."
"foil Kathril, Aspect Warper","Set code: C20
Set name: Commander 2020
Collector number: 10
Rarity: mythic
type_line: Legendary Creature — Nightmare Insect
Language: ja
mana_cost: {2}{W}{B}{G}
color_identity: B, G, W
colors: B, G, W
oracle_text: When Kathril enters, put a flying counter on any creature you control if a creature card in your graveyard has flying. Repeat this process for first strike, double strike, deathtouch, hexproof, indestructible, lifelink, menace, reach, trample, and vigilance. Then put a +1/+1 counter on Kathril for each counter put on a creature this way."
"foil Chandra, Spark Hunter","Set code: DFT
Set name: Aetherdrift
Collector number: 401
Rarity: mythic
type_line: Legendary Planeswalker — Chandra
Language: ja
mana_cost: {3}{R}
color_identity: R
colors: R
oracle_text: At the beginning of combat on your turn, choose up to one target Vehicle you control. Until end of turn, it becomes an artifact creature and gains haste.
+2: You may sacrifice an artifact or discard a card. If you do, draw a card.
0: Create a 3/2 colorless Vehicle artifact token with crew 1.
−7: You get an emblem with ""Whenever an artifact you control enters, this emblem deals 3 damage to any target."""
foil Overlord of the Hauntwoods,"Set code: DSK
Set name: Duskmourn: House of Horror
Collector number: 395
Rarity: mythic
Language: ja"
foil Elspeth Tirel,"Set code: SLD
Set name: Secret Lair Drop
Collector number: 1585
Rarity: mythic
type_line: Legendary Planeswalker — Elspeth
Language: ja
mana_cost: {3}{W}{W}
color_identity: W
colors: W
oracle_text: +2: You gain 1 life for each creature you control.
−2: Create three 1/1 white Soldier creature tokens.
−5: Destroy all other permanents except for lands and tokens."
foil The Royal Scions,"Set code: SLD
Set name: Secret Lair Drop
Collector number: 1600
Rarity: mythic
type_line: Legendary Planeswalker — Will Rowan
Language: ja
mana_cost: {1}{U}{R}
color_identity: R, U
colors: R, U
oracle_text: +1: Draw a card, then discard a card.
+1: Target creature gets +2/+0 and gains first strike and trample until end of turn.
−8: Draw four cards. When you do, The Royal Scions deals damage to any target equal to the number of cards in your hand."
normal Liliana of the Dark Realms,"Set code: SLD
Set name: Secret Lair Drop
Collector number: 1593
Rarity: mythic
type_line: Legendary Planeswalker — Liliana
Language: ja
mana_cost: {2}{B}{B}
color_identity: B
colors: B
oracle_text: +1: Search your library for a Swamp card, reveal it, put it into your hand, then shuffle.
−3: Target creature gets +X/+X or -X/-X until end of turn, where X is the number of Swamps you control.
−6: You get an emblem with ""Swamps you control have '{T}: Add {B}{B}{B}{B}.'"""
normal Elspeth Tirel,"Set code: SLD
Set name: Secret Lair Drop
Collector number: 1585
Rarity: mythic
type_line: Legendary Planeswalker — Elspeth
Language: ja
mana_cost: {3}{W}{W}
color_identity: W
colors: W
oracle_text: +2: You gain 1 life for each creature you control.
−2: Create three 1/1 white Soldier creature tokens.
−5: Destroy all other permanents except for lands and tokens."
normal The Royal Scions,"Set code: SLD
Set name: Secret Lair Drop
Collector number: 1600
Rarity: mythic
type_line: Legendary Planeswalker — Will Rowan
Language: ja
mana_cost: {1}{U}{R}
color_identity: R, U
colors: R, U
oracle_text: +1: Draw a card, then discard a card.
+1: Target creature gets +2/+0 and gains first strike and trample until end of turn.
−8: Draw four cards. When you do, The Royal Scions deals damage to any target equal to the number of cards in your hand."
normal Eliminate,"Set code: STA
Set name: Strixhaven Mystical Archive
Collector number: 93
Rarity: uncommon
type_line: Instant
Language: ja
mana_cost: {1}{B}
color_identity: B
colors: B
oracle_text: Destroy target creature or planeswalker with mana value 3 or less."
foil Negate,"Set code: STA
Set name: Strixhaven Mystical Archive
Collector number: 81
Rarity: uncommon
type_line: Instant
Language: ja
mana_cost: {1}{U}
color_identity: U
colors: U
oracle_text: Counter target noncreature spell."
normal Krosan Grip,"Set code: STA
Set name: Strixhaven Mystical Archive
Collector number: 116
Rarity: rare
type_line: Instant
Language: ja
mana_cost: {2}{G}
color_identity: G
colors: G
oracle_text: Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Destroy target artifact or enchantment."
foil Defiant Strike,"Set code: STA
Set name: Strixhaven Mystical Archive
Collector number: 66
Rarity: uncommon
type_line: Instant
Language: ja
mana_cost: {W}
color_identity: W
colors: W
oracle_text: Target creature gets +1/+0 until end of turn.
Draw a card."
"normal Blex, Vexing Pest // Search for Blex","Set code: STX
Set name: Strixhaven: School of Mages
Collector number: 148
Rarity: mythic
type_line: Legendary Creature — Pest // Sorcery
Language: ja
mana_cost: 
color_identity: B, G
colors: 
oracle_text: "
normal Agonizing Remorse,"Set code: STA
Set name: Strixhaven Mystical Archive
Collector number: 87
Rarity: uncommon
type_line: Sorcery
Language: ja
mana_cost: {1}{B}
color_identity: B
colors: B
oracle_text: Target opponent reveals their hand. You choose a nonland card from it or a card from their graveyard. Exile that card. You lose 1 life."
"normal Abuelo, Ancestral Echo","Set code: LCI
Set name: The Lost Caverns of Ixalan
Collector number: 297
Rarity: rare
type_line: Legendary Creature — Spirit
Language: en
mana_cost: {1}{W}{U}
color_identity: U, W
colors: U, W
oracle_text: Flying, ward {2}
{1}{W}{U}: Exile another target creature or artifact you control. Return it to the battlefield under its owner's control at the beginning of the next end step."
foil Abundant Growth,"Set code: INR
Set name: Innistrad Remastered
Collector number: 315
Rarity: common
type_line: Enchantment — Aura
Language: en
mana_cost: {G}
color_identity: G
colors: G
oracle_text: Enchant land
When this Aura enters, draw a card.
Enchanted land has ""{T}: Add one mana of any color."""
foil Academic Probation,"Set code: STX
Set name: Strixhaven: School of Mages
Collector number: 7
Rarity: rare
type_line: Sorcery — Lesson
Language: en
mana_cost: {1}{W}
color_identity: W
colors: W
oracle_text: Choose one —
• Choose a nonland card name. Opponents can't cast spells with the chosen name until your next turn.
• Choose target nonland permanent. Until your next turn, it can't attack or block, and its activated abilities can't be activated."
