Category,Sub Category,Title,Description,Quantity,Type,Price,Shipping Profile,Offerable,Hazmat,Condition,Cost Per Item,SKU,Image URL 1,Image URL 2,Image URL 3,Image URL 4,Image URL 5,Image URL 6,Image URL 7,Image URL 8
Trading Cards,Magic: The Gathering,Paradise Plume normal,"Foil: normal
Collector number: 271
Set name: Time Spiral Remastered
Set code: TSR
Rarity: uncommon
Language: en
color_identity: 
colors: 
mana_cost: {4}
type_line: Artifact
oracle_text: As this artifact enters, choose a color.
Whenever a player casts a spell of the chosen color, you may gain 1 life.
{T}: Add one mana of the chosen color.",1,,1,,No,No,near_mint,0.25,,https://cards.scryfall.io/normal/front/b/7/b794e97e-8b2c-4bde-8028-4348de5aec83.jpg?1619399015,,,,,,,
Trading Cards,Magic: The Gathering,Mana Tithe normal,"Foil: normal
Collector number: 26
Set name: Time Spiral Remastered
Set code: TSR
Rarity: common
Language: en
color_identity: W
colors: W
mana_cost: {W}
type_line: Instant
oracle_text: Counter target spell unless its controller pays {1}.",3,,1,,No,No,near_mint,0.49,,https://cards.scryfall.io/normal/front/9/a/9ae707d5-d81d-4320-b947-6016dc188898.jpg?1619393111,,,,,,,
Trading Cards,Magic: The Gathering,Goblin Electromancer normal,"Foil: normal
Collector number: 367
Set name: Ravnica Remastered
Set code: RVR
Rarity: common
Language: en
color_identity: R, U
colors: R, U
mana_cost: {U}{R}
type_line: Creature — Goblin Wizard
oracle_text: Instant and sorcery spells you cast cost {1} less to cast.",1,,1,,No,No,near_mint,0.25,,https://cards.scryfall.io/normal/front/6/f/6f764413-4b47-4a49-b721-fe7b3bc039fa.jpg?1702416176,,,,,,,
Trading Cards,Magic: The Gathering,Draining Whelk normal,"Foil: normal
Collector number: 62
Set name: Time Spiral Remastered
Set code: TSR
Rarity: rare
Language: en
color_identity: U
colors: U
mana_cost: {4}{U}{U}
type_line: Creature — Illusion
oracle_text: Flash
Flying
When this creature enters, counter target spell. Put X +1/+1 counters on this creature, where X is that spell's mana value.",1,,1,,No,No,near_mint,0.49,,https://cards.scryfall.io/normal/front/5/1/51eca246-591e-4ea8-8432-9f4c1f16a65e.jpg?1619394027,,,,,,,
Trading Cards,Magic: The Gathering,"Chevill, Bane of Monsters foil","Foil: foil
Collector number: 330
Set name: Ikoria: Lair of Behemoths
Set code: IKO
Rarity: mythic
Language: ja
color_identity: B, G
colors: B, G
mana_cost: {B}{G}
type_line: Legendary Creature — Human Rogue
oracle_text: Deathtouch
At the beginning of your upkeep, if your opponents control no permanents with bounty counters on them, put a bounty counter on target creature or planeswalker an opponent controls.
Whenever a permanent an opponent controls with a bounty counter on it dies, you gain 3 life and draw a card.",1,,6,,No,No,near_mint,5.37,,https://cards.scryfall.io/normal/front/1/f/1f90d92a-2297-4a52-80cb-10b56943b828.jpg?1604782327,,,,,,,
Trading Cards,Magic: The Gathering,"Kathril, Aspect Warper foil","Foil: foil
Collector number: 10
Set name: Commander 2020
Set code: C20
Rarity: mythic
Language: ja
color_identity: B, G, W
colors: B, G, W
mana_cost: {2}{W}{B}{G}
type_line: Legendary Creature — Nightmare Insect
oracle_text: When Kathril enters, put a flying counter on any creature you control if a creature card in your graveyard has flying. Repeat this process for first strike, double strike, deathtouch, hexproof, indestructible, lifelink, menace, reach, trample, and vigilance. Then put a +1/+1 counter on Kathril for each counter put on a creature this way.",1,,1,,No,No,near_mint,0.7,,https://cards.scryfall.io/normal/front/e/b/ebc57f73-a517-463e-8d55-56aa996d091e.jpg?1591946565,,,,,,,
Trading Cards,Magic: The Gathering,"Chandra, Spark Hunter foil","Foil: foil
Collector number: 401
Set name: Aetherdrift
Set code: DFT
Rarity: mythic
Language: ja
color_identity: R
colors: R
mana_cost: {3}{R}
type_line: Legendary Planeswalker — Chandra
oracle_text: At the beginning of combat on your turn, choose up to one target Vehicle you control. Until end of turn, it becomes an artifact creature and gains haste.
+2: You may sacrifice an artifact or discard a card. If you do, draw a card.
0: Create a 3/2 colorless Vehicle artifact token with crew 1.
−7: You get an emblem with ""Whenever an artifact you control enters, this emblem deals 3 damage to any target.""",1,,23,,No,No,near_mint,23.02,,https://cards.scryfall.io/normal/front/a/1/a1864b99-6893-4e4d-94de-641837c05da3.jpg?1739042203,,,,,,,
Trading Cards,Magic: The Gathering,Overlord of the Hauntwoods foil,"Foil: foil
Collector number: 395
Set name: Duskmourn: House of Horror
Set code: DSK
Rarity: mythic
Language: ja",1,,49,,No,No,near_mint,48.37,,,,,,,,,
Trading Cards,Magic: The Gathering,Elspeth Tirel foil,"Foil: foil
Collector number: 1585
Set name: Secret Lair Drop
Set code: SLD
Rarity: mythic
Language: ja
color_identity: W
colors: W
mana_cost: {3}{W}{W}
type_line: Legendary Planeswalker — Elspeth
oracle_text: +2: You gain 1 life for each creature you control.
−2: Create three 1/1 white Soldier creature tokens.
−5: Destroy all other permanents except for lands and tokens.",1,,38,,No,No,near_mint,37.87,,https://cards.scryfall.io/normal/front/9/5/95d3a061-03b4-4004-8a6c-4374513de17a.jpg?1727566980,,,,,,,
Trading Cards,Magic: The Gathering,The Royal Scions foil,"Foil: foil
Collector number: 1600
Set name: Secret Lair Drop
Set code: SLD
Rarity: mythic
Language: ja
color_identity: R, U
colors: R, U
mana_cost: {1}{U}{R}
type_line: Legendary Planeswalker — Will Rowan
oracle_text: +1: Draw a card, then discard a card.
+1: Target creature gets +2/+0 and gains first strike and trample until end of turn.
−8: Draw four cards. When you do, The Royal Scions deals damage to any target equal to the number of cards in your hand.",1,,3,,No,No,near_mint,2.48,,https://cards.scryfall.io/normal/front/d/4/d4ecf1fd-f963-4bc0-8c01-ef781c14e463.jpg?1727567167,,,,,,,
