Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Type,Mana Cost,Colors,Color Identity,Oracle Text,Commander Legal,Pauper Legal,CMC,Image URL
Plains,inr,Innistrad Remastered,288,normal,common,1,,95347dba-09e9-47a3-a068-db78ba39714e,0.0,False,False,near_mint,en,USD,Basic Land — Plains,,,W,({T}: Add {W}.),legal,legal,0.0,https://cards.scryfall.io/normal/front/9/5/95347dba-09e9-47a3-a068-db78ba39714e.jpg?1736551487
Shrill Howler // Howling Chorus,inr,Innistrad Remastered,214,normal,uncommon,1,,e414e208-2e90-4b0d-b107-7a387b3f779b,0.0,False,False,near_mint,en,USD,Creature — Werewolf Horror // Creature — Eldrazi Werewolf,,,G,,legal,not_legal,3.0,https://cards.scryfall.io/normal/front/e/4/e414e208-2e90-4b0d-b107-7a387b3f779b.jpg?1736468411
Gisa's Bidding,inr,Innistrad Remastered,379,normal,common,1,,6eda8787-8f57-4894-a911-a91f92812062,0.0,False,False,near_mint,en,USD,Sorcery,{2}{B}{B},B,B,"Create two 2/2 black Zombie creature tokens.
Madness {2}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",legal,legal,4.0,https://cards.scryfall.io/normal/front/6/e/6eda8787-8f57-4894-a911-a91f92812062.jpg?1736551354
Reckless Scholar,inr,Innistrad Remastered,81,normal,common,1,,ceb85311-a7f7-44d5-9caa-50a24fd6d00a,0.0,False,False,near_mint,en,USD,Creature — Human Wizard,{2}{U},U,U,"{T}: Target player draws a card, then discards a card.",legal,legal,3.0,https://cards.scryfall.io/normal/front/c/e/ceb85311-a7f7-44d5-9caa-50a24fd6d00a.jpg?1736467803
Angel's Tomb,inr,Innistrad Remastered,253,normal,uncommon,1,,b465d09e-efad-48b6-a89a-f7da0c572991,0.0,False,False,near_mint,en,USD,Artifact,{3},,,"Whenever a creature you control enters, you may have this artifact become a 3/3 white Angel artifact creature with flying until end of turn.",legal,not_legal,3.0,https://cards.scryfall.io/normal/front/b/4/b465d09e-efad-48b6-a89a-f7da0c572991.jpg?1736468569
Twinblade Geist // Twinblade Invocation,inr,Innistrad Remastered,47,normal,uncommon,1,,88bc8cdf-adfa-4a11-a8c0-484bc03edc65,0.0,False,False,near_mint,en,USD,Creature — Spirit Warrior // Enchantment — Aura,,,W,,legal,not_legal,2.0,https://cards.scryfall.io/normal/front/8/8/88bc8cdf-adfa-4a11-a8c0-484bc03edc65.jpg?1736467623
Mountain,inr,Innistrad Remastered,295,normal,common,1,,787da7ce-527d-4abf-9e92-5de9db2250cd,0.0,False,False,near_mint,en,USD,Basic Land — Mountain,,,R,({T}: Add {R}.),legal,legal,0.0,https://cards.scryfall.io/normal/front/7/8/787da7ce-527d-4abf-9e92-5de9db2250cd.jpg?1736551393
Mist Raven,inr,Innistrad Remastered,362,normal,uncommon,1,,1450e465-3380-465a-ac20-18ae64b04821,0.0,False,False,near_mint,en,USD,Creature — Bird,{2}{U}{U},U,U,"Flying
When this creature enters, return target creature to its owner's hand.",legal,legal,4.0,https://cards.scryfall.io/normal/front/1/4/1450e465-3380-465a-ac20-18ae64b04821.jpg?1736551083
Rally the Peasants,inr,Innistrad Remastered,347,normal,uncommon,1,,dc5bf14c-e287-47aa-a5aa-1ac543bb922f,0.0,False,False,near_mint,en,USD,Instant,{2}{W},W,"R, W","Creatures you control get +2/+0 until end of turn.
Flashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",legal,legal,3.0,https://cards.scryfall.io/normal/front/d/c/dc5bf14c-e287-47aa-a5aa-1ac543bb922f.jpg?1736551671
Festival Crasher,inr,Innistrad Remastered,153,normal,common,1,,d8d050c1-ae0c-46c1-8aa7-7cde4606105b,0.0,False,False,near_mint,en,USD,Creature — Devil,{1}{R},R,R,"Whenever you cast an instant or sorcery spell, this creature gets +2/+0 until end of turn.",legal,legal,2.0,https://cards.scryfall.io/normal/front/d/8/d8d050c1-ae0c-46c1-8aa7-7cde4606105b.jpg?1736468136
