Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,type_line,mana_cost,colors,color_identity,oracle_text,legal_commander,legal_pauper
Plains,INR,Innistrad Remastered,288,foil,common,1,102680,95347dba-09e9-47a3-a068-db78ba39714e,0.35,False,False,near_mint,en,USD,Basic Land — Plains,,,W,({T}: Add {W}.),legal,legal
Shrill Howler // Howling Chorus,INR,Innistrad Remastered,214,foil,uncommon,1,102815,e414e208-2e90-4b0d-b107-7a387b3f779b,0.05,False,False,near_mint,en,USD,Creature — Werewolf Horror // Creature — Eldrazi Werewolf,,,G,,legal,not_legal
Gisa's Bidding,INR,Innistrad Remastered,379,foil,common,1,102595,6eda8787-8f57-4894-a911-a91f92812062,0.17,False,False,near_mint,en,USD,Sorcery,{2}{B}{B},B,B,"Create two 2/2 black Zombie creature tokens.
Madness {2}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",legal,legal
Reckless Scholar,INR,Innistrad Remastered,81,foil,common,1,102784,ceb85311-a7f7-44d5-9caa-50a24fd6d00a,0.02,False,False,near_mint,en,USD,Creature — Human Wizard,{2}{U},U,U,"{T}: Target player draws a card, then discards a card.",legal,legal
Angel's Tomb,INR,Innistrad Remastered,253,foil,uncommon,1,102738,b465d09e-efad-48b6-a89a-f7da0c572991,0.07,False,False,near_mint,en,USD,Artifact,{3},,,"Whenever a creature you control enters, you may have this artifact become a 3/3 white Angel artifact creature with flying until end of turn.",legal,not_legal
Twinblade Geist // Twinblade Invocation,INR,Innistrad Remastered,47,foil,uncommon,1,102655,88bc8cdf-adfa-4a11-a8c0-484bc03edc65,0.08,False,False,near_mint,en,USD,Creature — Spirit Warrior // Enchantment — Aura,,,W,,legal,not_legal
Mountain,INR,Innistrad Remastered,295,foil,common,1,102615,787da7ce-527d-4abf-9e92-5de9db2250cd,0.72,False,False,near_mint,en,USD,Basic Land — Mountain,,,R,({T}: Add {R}.),legal,legal
Mist Raven,INR,Innistrad Remastered,362,normal,uncommon,1,102432,1450e465-3380-465a-ac20-18ae64b04821,0.05,False,False,near_mint,en,USD,Creature — Bird,{2}{U}{U},U,U,"Flying
When this creature enters, return target creature to its owner's hand.",legal,legal
Rally the Peasants,INR,Innistrad Remastered,347,normal,uncommon,1,102805,dc5bf14c-e287-47aa-a5aa-1ac543bb922f,0.12,False,False,near_mint,en,USD,Instant,{2}{W},W,"R, W","Creatures you control get +2/+0 until end of turn.
Flashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",legal,legal
Festival Crasher,INR,Innistrad Remastered,153,foil,common,1,102800,d8d050c1-ae0c-46c1-8aa7-7cde4606105b,0.05,False,False,near_mint,en,USD,Creature — Devil,{1}{R},R,R,"Whenever you cast an instant or sorcery spell, this creature gets +2/+0 until end of turn.",legal,legal
